Date,ASELS.IS,GARAN.IS,KCHOL.IS,SISE.IS,THYAO.IS
2023-09-06,40.98292541503906,45.60807800292969,125.84629821777344,51.918514251708984,239.3366241455078
2023-09-07,41.79899978637695,46.45021438598633,127.708740234375,52.014041900634766,238.9458770751953
2023-09-08,43.29181671142578,46.36156463623047,130.01458740234375,51.4886474609375,237.67591857910156
2023-09-11,41.3213005065918,44.544334411621094,126.3784408569336,52.15732955932617,229.079345703125
2023-09-12,42.55535888671875,43.93267822265625,125.93499755859375,51.82299041748047,230.544677734375
2023-09-13,41.10234832763672,43.578094482421875,122.9196548461914,52.778255462646484,226.3440704345703
2023-09-14,41.50043869018555,44.854591369628906,125.04813385009766,54.06785583496094,232.98687744140625
2023-09-15,40.6246452331543,44.32271957397461,120.96854400634766,52.10956573486328,221.85040283203125
2023-09-18,38.25603485107422,43.9681396484375,118.13056945800781,49.625885009765625,213.05844116210938
2023-09-19,39.410484313964844,44.367042541503906,119.19481658935547,49.72140884399414,213.54689025878906
2023-09-20,37.81814193725586,45.652400970458984,119.3721923828125,48.813907623291016,218.13824462890625
2023-09-21,39.66923904418945,46.09563064575195,123.09703063964844,50.581146240234375,227.2232666015625
2023-09-22,40.32608413696289,45.03187942504883,121.94409942626953,52.25285720825195,220.87351989746094
2023-09-25,42.09756088256836,45.69672393798828,125.93499755859375,52.730491638183594,227.12557983398438
2023-09-26,40.80378341674805,45.60807800292969,123.36308288574219,51.202064514160156,222.24114990234375
2023-09-27,40.405696868896484,45.03187942504883,123.4517822265625,51.67969512939453,225.0740966796875
2023-09-28,40.127037048339844,45.297821044921875,125.93499755859375,51.10654067993164,237.57823181152344
2023-09-29,40.60474395751953,47.20370101928711,130.10325622558594,52.20509338378906,236.8944091796875
2023-10-02,41.34120178222656,47.868534088134766,133.38465881347656,53.255882263183594,247.54244995117188
2023-10-03,41.10234832763672,47.24802017211914,136.4000244140625,53.972328186035156,241.97421264648438
2023-10-04,40.38579559326172,45.829689025878906,137.1981964111328,51.87075424194336,232.98687744140625
2023-10-05,41.460628509521484,46.71614456176758,139.0606231689453,52.34838104248047,235.9175262451172
2023-10-06,40.72416687011719,45.74104690551758,140.12486267089844,51.584171295166016,232.88917541503906
2023-10-09,43.670005798339844,44.145423889160156,138.5284881591797,50.007991790771484,221.9480743408203
2023-10-10,42.67478942871094,45.20917510986328,138.4398193359375,50.963253021240234,232.59613037109375
2023-10-11,41.77909469604492,45.12052917480469,135.42446899414062,50.581146240234375,224.7810516357422
2023-10-12,42.893733978271484,44.32271957397461,134.53759765625,49.76917266845703,219.89663696289062
2023-10-13,42.3961296081543,43.08168411254883,129.74851989746094,49.578125,217.06365966796875
2023-10-16,40.30617904663086,42.85120391845703,128.77296447753906,49.48259735107422,217.8451690673828
2023-10-17,40.72416687011719,43.80857467651367,132.85255432128906,50.390098571777344,219.89663696289062
2023-10-18,39.510009765625,42.00020980834961,128.41822814941406,48.9094352722168,211.49542236328125
2023-10-19,40.90330505371094,40.98965072631836,129.21641540527344,48.47956848144531,208.66246032714844
